id,source,title,url,deadline,description,scraped_at,fit,score,fit_reason,fit_match,call_summary,call_deadline
05adc5e11e1c,EIT Digital (28DIGITAL),External Experts for 28DIGITAL,https://28digital.eu/our-messages/calls-tenders/external-experts-for-28digital/,,,2026-05-28T16:22:12.115701+00:00,MAYBE,5,"DevelopMinded's expertise in evaluating investor readiness, innovation programmes, and startup competitions aligns with the external expert/evaluator role, though this is a voluntary or minimally compensated expert registration rather than a formal procurement contract.","Evaluation and assessment of investor readiness, innovation programmes, and startup competitions","EIT Digital's 28DIGITAL initiative is seeking independent external experts to assess innovation and education project proposals across digital tech focus areas, as well as independent observers to ensure evaluation panel compliance. Contractors/experts must evaluate project proposals, provide assessments, and/or observe evaluation processes for impartiality and transparency.",
0e1cd33b04ad,EIT Health,Call for Tenders,https://eithealth.eu/call-for-tenders/,,,2026-05-28T16:22:12.327844+00:00,NO,1,"This is a generic procurement landing page with no specific tender details, scope, or requirements that can be evaluated for fit.",none,"This page is a general call-for-tenders portal page from EIT Health directing visitors to external procurement platforms (DTVP and TED) where actual tenders are listed. There is no specific tender scope, deliverables, or requirements described on this page.",
d8fb01ef48f9,EIT Health,Active EIT Health Tenders on dtvp.de (external portal),https://www.dtvp.de/en,,EIT Health publishes its active tenders on the dtvp.de procurement platform. Search for 'EIT Health' on that site to find all current open opportunities.,2026-05-28T16:22:12.328199+00:00,NO,1,"This page contains no actual tender information — it is merely a marketing/landing page for the DTVP German e-procurement portal with no specific EIT Health tender details, scope, or deliverables visible.",none,"This is not a specific tender but rather a generic page for the DTVP (Deutsches Vergabeportal) procurement platform, which hosts EIT Health tenders among many others. No concrete tender scope, deliverables, or requirements are described on this page.",
6cfbe93d72b4,EIT Urban Mobility,Expert Evaluators And Rapporteurs Aug26,https://www.eiturbanmobility.eu/request-for-proposal/expert-evaluators-and-rapporteurs-aug26/,31 August 2026,,2026-05-28T16:22:20.726945+00:00,MAYBE,5,"DevelopMinded's expertise in evaluating innovation programmes, startup competitions, and investor readiness aligns with the expert evaluator/rapporteur role for EIT Urban Mobility's calls covering Innovation, Impact Ventures/Investments, and Academy portfolios, though the urban mobility sector focus and individual expert pool format are not a core business match.","Evaluation and assessment of investor readiness, innovation programmes, and startup competitions","EIT Urban Mobility is building a pool of external expert evaluators and rapporteurs to support the assessment and selection of proposals across its business areas including Academy, Innovation, Impact Ventures/Investments, Social Innovation, and lump-sum budget assessment. Selected experts must independently evaluate submitted proposals and/or act as rapporteurs during the evaluation process for EIT UM-funded calls.",31 August 2026
7607e460f9e0,EIT Climate-KIC,Caribbean Climate Resilience & Blue Economy Ecosystem Study & Roadmap Design,https://www.climate-kic.org/wp-content/uploads/2026/06/RFP-for-Caribbean-Ecosystem-Study-and-Roadmap-in-CR-BE.pdf,,Climate KIC is looking for a supplier to conduct an ecosystem study and co-design initiatives to accelerate climate resilience and blue economy in the Caribbean.,2026-06-08T11:56:06.784788+00:00,MAYBE,4,"The tender involves ecosystem mapping, roadmap design, and market intelligence in cleantech/blue economy, which partially aligns with DevelopMinded's go-to-market and market intelligence services, but the geographic focus (Caribbean) and primary deliverable (regional ecosystem study and co-design) are outside DevelopMinded's core client profile of deep tech spinouts and EIC grantees.","Go-to-market strategy and market intelligence (market sizing, segmentation, competitive analysis)","This EIT Climate-KIC RFP seeks a supplier to conduct a Caribbean climate resilience and blue economy ecosystem study and co-design initiatives to accelerate the regional innovation landscape. The contractor must deliver an ecosystem analysis, stakeholder mapping, and a roadmap for accelerating climate entrepreneurship in the Caribbean over a 9-month engagement with a possible 3-month extension.",21st of June 2026
9381294312ff,EIT Climate-KIC,NZC CESF Procurement RFP - Czechia,https://www.climate-kic.org/../../wp-content/uploads/2026/01/RFP_2026_SGA2_Task-1.6-Czechia_Final-1.pdf,,"Climate KIC is looking for an expert support to facilitate the Community of Practice of
cities in the Czech Republic.",2026-06-22T12:48:41.820782+00:00,NO,2,"This tender seeks a facilitator for a Community of Practice for cities in Czechia focused on climate/net-zero, which does not align with DevelopMinded's core services in technology commercialisation, investment readiness, or deep tech go-to-market strategy.",none,"This call from EIT Climate-KIC relates to the Net Zero Cities (NZC) Community of Practice in the Czech Republic, likely supporting urban climate transition initiatives. The contractor would be expected to facilitate collaboration and knowledge-sharing among Czech cities working toward net-zero goals.",
1e2629901d93,EIT Climate-KIC,Expert in inclusive climate innovation (long-term),https://www.climate-kic.org/../../download/73831/?tmstv=1768388726,,"Climate KIC is requesting an expert in inclusive climate entrepreneurship to support DEI (Diversity, Equity & Inclusion) capacity building with climate ventures, Entrepreneurship Support Organisations",2026-06-22T12:48:41.820968+00:00,NO,2,"This tender seeks a DEI/inclusive entrepreneurship expert for capacity building, which is outside DevelopMinded's core competencies in technology commercialisation, investment readiness, and deep tech go-to-market strategy.",none,"EIT Climate-KIC is seeking a long-term expert specialised in inclusive climate entrepreneurship to support DEI capacity building with climate ventures and Entrepreneurship Support Organisations. The contractor must deliver DEI-focused advisory and capacity building services, not technology commercialisation or market strategy work.",
8661875580f4,EIT Climate-KIC,NZC CESF Procurement RFP - Liepaja,https://www.climate-kic.org/../../wp-content/uploads/2025/11/SGA-MCCC-019-Liepaja-RfP_Final.pdf,,"The NetZeroCities team within Climate KIC is looking for an expert to run a pre-feasibility study for the energy community project of the City of Liepaja. 
*Please note that a list of questions and an",2026-06-22T12:48:41.821108+00:00,MAYBE,4,"The pre-feasibility study for an energy community project touches on market and regulatory analysis relevant to DevelopMinded's capabilities, but it is primarily an urban energy planning/technical consultancy role rather than technology commercialisation or deep tech venture support.",Regulatory pathway analysis for market entry,"This tender from EIT Climate-KIC's NetZeroCities programme seeks an expert to conduct a pre-feasibility study for an energy community project in the City of Liepaja, Latvia. The contractor would likely need to deliver a structured analysis covering technical, regulatory, financial, and stakeholder dimensions of establishing a local energy community.",
9c956be173d8,EIT Climate-KIC,City Expert Support Facility (CESF) for NetZeroCities programme,https://www.climate-kic.org/../../wp-content/uploads/2025/09/CESF-Procurement-SGA2-1.6_IRELAND_.pdf,,"Climate KIC is seeking expert support to the Community of Practice of 
cities in Ireland.",2026-06-22T12:48:41.821544+00:00,MAYBE,4,"While DevelopMinded has relevant EU programme and stakeholder engagement expertise, this tender focuses on city-level net zero community of practice support rather than deep tech commercialisation or research spinout services.",Partnership strategy and stakeholder outreach,"This tender from EIT Climate-KIC seeks expert support for a Community of Practice of cities in Ireland under the NetZeroCities programme, likely involving facilitation, knowledge exchange, and capacity building for urban net zero transitions. The contractor would be expected to deliver expert advisory, coordination, and possibly strategic support services to Irish cities participating in the programme.",
f5e2c6bc6211,EIT Climate-KIC,RFP - Research and Analysis of Demand Side and Engagement for Climate Entrepreneurship Support,https://www.climate-kic.org/../../wp-content/uploads/2025/09/RFP-ESO-Circle-Demand-Analysis.pdf,,"Climate KIC is looking for expert services to conduct a comprehensive research and analysis of at least 30 Entrepreneurial Support Organizations (ESOs) previously supported by ESV Cluster, generating",2026-06-22T12:48:41.821684+00:00,MAYBE,5,"The tender focuses on research and analysis of entrepreneurial support organisations in the climate sector, which partially aligns with DevelopMinded's market intelligence and innovation programme evaluation capabilities, but is more focused on ecosystem/demand-side research than direct deep tech commercialisation support.","Evaluation and assessment of investor readiness, innovation programmes, and startup competitions","EIT Climate-KIC is seeking expert services to conduct comprehensive research and analysis of at least 30 Entrepreneurial Support Organisations (ESOs) previously supported by its ESV Cluster, likely to understand demand-side needs and engagement patterns for climate entrepreneurship support. The contractor must deliver a structured research study, likely including surveys, interviews, and analytical outputs covering the needs, gaps, and engagement dynamics of these ESOs within the climate innovation ecosystem.",
